Fecha_Hora,Nombre_Imagen,Fruta,Estado_Madurez,Confianza_Pct,Regla_Activada,H_promedio,S_promedio,V_promedio,L_promedio,a_promedio,b_promedio,Pct_Verde,Pct_Amarillo,Pct_Marron,Pct_Naranja
2026-08-02 14:16:02,inmaduro_164096-150-auto.webp,banano,Inmaduro,99.0,"Dominancia verde: %Verde=96.4%, H_prom=38.5°",38.46,222.98,149.72,145.49,99.87,182.95,96.37,3.09,0.0,0.0
2026-08-02 14:16:02,inmaduro_banano-verde-de-exportacion-precio-indicado-por-unidad-0000000073141.webp,banano,Inmaduro,95.2,"Dominancia verde: %Verde=88.5%, H_prom=36.7°",36.7,251.2,176.45,170.7,96.18,195.91,88.47,11.53,0.0,0.0
2026-08-02 14:16:02,inmaduro_images (5).jpg,banano,Inmaduro,99.0,"Dominancia verde: %Verde=99.3%, H_prom=41.7°",41.72,198.32,170.97,164.42,94.41,180.15,99.28,0.54,0.0,0.06
2026-08-02 14:16:02,inmaduro_images (6).jpg,banano,Inmaduro,99.0,"Dominancia verde: %Verde=94.6%, H_prom=39.0°",39.02,234.39,138.15,134.18,100.27,180.79,94.62,3.84,0.0,0.02
2026-08-02 14:16:02,inmaduro_images (7).jpg,banano,Inmaduro,96.1,"Dominancia verde: %Verde=89.4%, H_prom=36.7°",36.72,251.77,174.55,168.95,96.36,195.41,89.36,10.64,0.0,0.0
2026-08-02 14:16:02,inmaduro_images (8).jpg,banano,Inmaduro,99.0,"Dominancia verde: %Verde=98.9%, H_prom=49.1°",49.06,247.36,146.41,137.0,82.28,183.52,98.9,0.75,0.08,0.04
2026-08-02 14:16:02,inmaduro_images (9).jpg,banano,Inmaduro,89.8,"Dominancia verde: %Verde=83.8%, H_prom=36.0°",36.04,211.99,137.11,136.25,105.84,177.82,83.79,16.21,0.0,0.0
2026-08-02 14:16:02,inmaduro_images.jpg,banano,Inmaduro,99.0,"Dominancia verde: %Verde=94.1%, H_prom=40.7°",40.73,212.14,179.76,170.44,93.65,186.61,94.07,2.03,0.18,1.12
2026-08-02 14:16:02,maduro_1080185-800-450.webp,banano,Maduro,99.0,"Madurez óptima: %Amarillo=99.8%, H_prom=22.1°",22.07,196.24,217.92,188.88,132.29,187.51,0.0,99.75,0.0,0.02
2026-08-02 14:16:02,maduro_4187137351.jpg,banano,Maduro,99.0,"Madurez óptima: %Amarillo=97.6%, H_prom=23.4°",23.37,222.12,172.77,152.2,129.42,185.12,0.03,97.58,0.25,2.1
2026-08-02 14:16:02,maduro_banana.jpg,banano,Maduro,99.0,"Madurez óptima: %Amarillo=89.9%, H_prom=20.9°",20.92,201.04,209.0,175.8,135.67,187.72,0.0,89.94,2.66,9.75
2026-08-02 14:16:02,maduro_banano-seleccion-especial-kilo-2672710000007 (1).webp,banano,Maduro,99.0,"Madurez óptima: %Amarillo=97.2%, H_prom=22.4°",22.4,239.01,219.32,183.34,134.88,199.68,0.0,97.24,2.37,2.61
2026-08-02 14:16:02,maduro_banano-seleccion-especial-kilo-2672710000007.webp,banano,Maduro,99.0,"Madurez óptima: %Amarillo=97.2%, H_prom=22.4°",22.4,239.01,219.32,183.34,134.88,199.68,0.0,97.24,2.37,2.61
2026-08-02 14:16:02,maduro_banano01-2.png,banano,Maduro,80.0,"Madurez óptima: %Amarillo=49.3%, H_prom=12.6°",12.57,116.98,117.53,99.46,130.24,164.2,1.59,49.28,0.02,0.37
2026-08-02 14:16:02,sobremaduro_Gemini_Generated_Image_rb5xklrb5xklrb5x.png,banano,Sobremaduro,99.0,"Pardeamiento/Necrosis: %Marrón/Oscuro=122.7%, b*_LAB=164.6",12.32,173.08,159.77,120.74,147.5,164.62,0.0,18.73,43.53,79.13
2026-08-02 14:16:02,sobremaduro_images (3).jpg,banano,Sobremaduro,99.0,"Pardeamiento/Necrosis: %Marrón/Oscuro=118.5%, b*_LAB=137.9",28.64,73.62,97.31,86.43,134.38,137.88,0.03,8.62,65.07,53.4
2026-08-02 14:16:56,164096-150-auto.webp,banano,Inmaduro,99.0,"Dominancia verde: %Verde=96.4%, H_prom=38.5°",38.46,222.98,149.72,145.49,99.87,182.95,96.37,3.09,0.0,0.0
